101;Copenhagen;
751;Aarhus;
851;Aalborg;
461;Odense;
561;Esbjerg;
630;Vejle;
147;Frederiksberg;
730;Randers;
791;Viborg;
621;Kolding;
740;Silkeborg;
657;Herning;
615;Horsens;
265;Roskilde;
370;Næstved;
330;Slagelse;
540;Sønderborg;
157;Gentofte;
316;Holbæk;
860;Hjørring;
159;Gladsaxe;
376;Guldborgsund;
217;Helsingør;
813;Frederikshavn;
580;Aabenraa;
479;Svendborg;
746;Skanderborg;
760;Ringkøbing-Skjern;
259;Køge;
661;Holstebro;
510;Haderslev;
230;Rudersdal;
173;Lyngby-Taarbæk;
430;Faaborg-Midtfyn;
167;Hvidovre;
573;Varde;
607;Fredericia;
326;Kalundborg;
219;Hillerød;
169;Høje-Taastrup;
151;Ballerup;
253;Greve;
779;Skive;
710;Favrskov;
766;Hedensted;
390;Vordingborg;
360;Lolland;
787;Thisted;
250;Frederikssund;
575;Vejen;
846;Mariagerfjord;
240;Egedal;
706;Syddjurs;
420;Assens;
400;Bornholm;
185;Tårnby;
756;Ikast-Brande;
270;Gribskov;
210;Fredensborg;
550;Tønder;
849;Jammerbugt;
190;Furesø;
707;Norddjurs;
410;Middelfart;
820;Vesthimmerland;
175;Rødovre;
810;Brønderslev;
320;Faxe;
153;Brøndby;
329;Ringsted;
306;Odsherred;
450;Nyborg;
260;Halsnæs;
340;Sorø;
480;Nordfyn;
840;Rebild;
165;Albertslund;
350;Lejre;
163;Herlev;
530;Billund;
223;Hørsholm;
201;Allerød;
440;Kerteminde;
671;Struer;
336;Stevns;
727;Odder;
161;Glostrup;
773;Morsø;
665;Lemvig;
269;Solrød;
183;Ishøj;
187;Vallensbæk;
155;Dragør;
482;Langeland;
492;Ærø;
741;Samsø;
563;Fanø;
825;Læsø;;