1440;Ale
1489;Alingsås
764;Alvesta
604;Aneby
1984;Arboga
2506;Arjeplog
2505;Arvidsjaur
1784;Arvika
1882;Askersund
2084;Avesta
1460;Bengtsfors
2326;berg
2403;Bjurholm
1260;Bjuv
2582;Boden
1443;Bollebygd
2183;Bollnäs
885;Borgholm
2081;Borlänge
1490;Borås
127;Botkyrka
560;Boxholms
1272;Bromölla
2305;Bräcke
1231;Burlöv
1278;Båstad
1438;Dals-Eds
162;Danderyd
1862;Degerfors
2425;Dorotea
1730;Eda
125;Ekerö
686;Eksjö
862;Emmaboda
381;Enköping
484;Eskilstuna
1285;Eslöv
1445;Essunga
1982;Fagersta
1382;Falkenberg
1499;Falköping
2080;Falu
1782;Filipstad
562;Finspång
482;Flen
1763;Forshaga
1439;Färgelanda
2026;Gagnef
662;Gislaved
461;Gnesta
617;Gnosjö
980;Gotland
1764;Grums
1444;Grästorp
1447;Gullspång
2523;Gällivare
2180;Gävle
1480;Göteborg
1471;Götene
643;Habo
1783;Hagfors
1861;Hallsberg
1961;Hallstahammar
1380;Halmstad
1761;Hammarö
136;Haninge
2583;Haparanda
331;Heby
2083;Hedemora
1283;Helsingborg
1466;Herrljunga
1497;Hjo
2104;Hofors
126;Huddinge
2184;Hudiksvall
860;Hultsfred
1315;Hylte
305;Håbo
1863;Hällefors
2361;Härjedalen
2280;Härnösand
1401;Härryda
1293;Hässleholm
1284;Höganäs
821;Högsby
1266;Hörby
1267;Höör
2510;Jokkmokk
123;Järfälla
680;Jönköping
2514;Kalix
880;Kalmar
1446;Karlsborg
1082;Karlshamn
1883;Karlskoga
1080;Karlskrona
1780;Karlstad
483;Katrineholm
1715;Kil
513;Kinda
2584;Kiruna
1276;Klippan
330;Knivsta
2282;Kramfors
1290;Kristianstad
1781;Kristinehamn
2309;Krokom
1881;Kumla
1384;Kungsbacka
1960;Kungsör
1482;Kungälv
1261;Kävlinge
1983;Köping
1381;Laholms
1282;Landskrona
1860;Laxå
1814;Lekeberg
2029;Leksand
1441;Lerums
761;Lessebo
186;Lidingö
1494;Lidköping
1462;Lilla Edet
1885;Lindesberg
580;Linköping
781;Ljungby
2161;Ljusdal
1864;Ljusnarsberg
1262;Lomma
2085;Ludvika
2580;Luleå
1281;Lund
2481;Lycksele
1484;Lysekil
1280;Malmö
2023;Malung-Sälen
2418;Malå
1493;Mariestad
1463;Marks
767;Markaryd
1461;Mellerud
586;Mjölby
2062;Mora
583;Motala
642;Mullsjö
1430;Munkedal
1762;Munkfors
1481;Mölndal
861;Mönsterås
840;Mörbylånga
182;Nacka
1884;Nora
1962;Norberg
2132;Nordanstig
2401;Nordmaling
581;Norrköping
188;Norrtälje
2417;Norsjö
881;Nybro
140;Nykvarn
480;Nyköping
192;Nynäshamn
682;Nässjö
2101;Ockelbo
1060;Olofström
2034;Orsa
1421;Orusts
1273;Osby
882;Oskarshamn
2121;Ovanåker
481;Oxelösund
2521;Pajala
1402;Partille
1275;Perstorp
2581;Piteå
2303;Ragunda
2409;Robertsfors
1081;Ronneby
2031;Rättvik
1981;Sala
128;Salems
2181;Sandviken
191;Sigtuna
1291;Simrishamn
1265;Sjöbo
1495;Skara
2482;Skellefteå
1904;Skinnskatteberg
1264;Skurup
1496;Skövde
2061;Smedjebacken
2283;Sollefteå
163;Sollentuna
184;Solna
2422;Sorsele
1427;Sotenäs
1230;Staffanstorp
1415;Stenungsund
180;Stockholm
1760;Storfor
2421;Storuman
486;Strängnäs
1486;Strömstad
2313;Strömsund
183;Sundbyberg
2281;Sundsvall
1766;Sunne
1907;Surahammar
1214;Svalöv
1263;Svedala
1465;Svenljunga
1785;Säffle
2082;Säter
684;Sävsjö
2182;Söderhamn
582;Söderköping
181;Södertälje
1083;Sölvesborg
1435;Tanum
1472;Tibro
1498;Tidaholm
360;Tierp
2262;Timrå
763;Tingsryd
1419;Tjörn
1270;Tomelilla
1737;Torsby
834;Torsås
1452;Tranemo
687;Tranås
1287;Trelleborg
1488;Trollhättan
488;Trosa
138;Tyresö
160;Täby
1473;Töreboda
1485;Uddevalla
1491;Ulricehamn
2480;Umeå
114;Upplands Väsby
139;Upplands-Bro
380;Uppsala
760;Uppvidinge
584;Vadstena
665;Vaggeryd
563;Valdemarsvik
115;Vallentuna
2021;Vansbro
1470;Vara
1383;Varberg
187;Vaxholm
1233;Vellinge
685;Vetlanda
2462;Vilhelmina
884;Vimmerby
2404;Vindeln
428;Vingåker
1442;Vårgårda
1487;Vänersborg
2460;Vännäs
120;Värmdö
683;Värnamo
883;Västervik
1980;Västerås
780;Växjö
512;Ydre
1286;Ystad
1492;Åmål
2260;Ånge
2321;Åre
1765;Årjäng
2463;Åsele
1277;Åstorp
561;Åtvidaberg
765;Älmhult
2039;Älvdalen
319;Älvkarleby
2560;Älvsbyn
1292;Ängelholm
1407;Öckerö
509;Ödeshög
1880;Örebro
1257;Örkelljunga
2284;Örnsköldsvik
2380;Östersund
117;Österåker
382;Östhammar
1256;Östra Göinge
2513;Överkalix
2518;Övertorneå